Hora,Azimut (°),Elevación (°),Roll (°),Pitch (°)
06:25,107.02580541520881,0.0244575060816955,-89.97442146294736,-17.025803816719087
06:30,107.02062361589454,1.052876153663481,-88.89890645384381,-17.017662304160545
06:35,107.02307503214001,2.143311751694848,-87.7585783688124,-17.01080297419743
06:40,107.03317187208071,3.273017304643698,-86.57717548932814,-17.004541289130714
06:45,107.05094272835703,4.4249137521075665,-85.3725084634822,-16.99857079833648
06:50,107.0764327189946,5.589763704989455,-84.15418649084998,-16.992756979498825
06:55,107.10970373812545,6.7625579918234235,-82.92739619943934,-16.987036924237575
07:00,107.15083477199695,7.940435357001533,-81.69507710661905,-16.981379309739673
07:05,107.19992229315253,9.121664046256248,-80.45898652117683,-16.975767839602625
07:10,107.25708076399414,10.305137304954222,-79.22022697280633,-16.970193885269193
07:15,107.32244325039247,11.490111813497853,-77.97951956136538,-16.9646529769953
07:20,107.39616210719629,12.676064597291472,-76.73735339185774,-16.95914302218157
07:25,107.47840974575662,13.862610979488522,-75.4940711580037,-16.953663348705476
07:30,107.56937962433547,15.049457066869246,-74.24991859324487,-16.94821416006087
07:35,107.66928719969812,16.236368352950436,-73.00507705472445,-16.94279622260924
07:40,107.77837118549492,17.42315151887009,-71.75968228142334,-16.937410667782387
07:45,107.89689483798745,18.609641159714382,-70.51383798437553,-16.9320588705982
07:50,108.02514739751855,19.795690738932443,-69.2676249926329,-16.92674237239835
07:55,108.16344576027868,20.98116676905578,-68.02110699686642,-16.92146282568846
08:00,108.3121363558023,22.165944690128907,-66.77433448656294,-16.916221957108558
08:05,108.47159715955522,23.3499052358601,-65.52734814725586,-16.911021543486996
08:10,108.64223989211068,24.532931398764703,-64.28018159696454,-16.905863395075986
08:15,108.82451269622301,25.714907501580786,-63.03286186459612,-16.900749338076682
08:20,109.0189027536997,26.895716232294706,-61.78541196989699,-16.895681209475985
08:25,109.22593956586574,28.075238298305276,-60.53785068912366,-16.890660846008235
08:30,109.44619834083363,29.25335063565829,-59.29019378507284,-16.88569007908952
08:35,109.68030376913848,30.429924874202726,-58.04245490115887,-16.880770732276495
08:40,109.92893433775251,31.604826471820886,-56.79464567018198,-16.875904615527553
08:45,110.19282714574862,32.7779138533133,-55.546775726609376,-16.871093521478688
08:50,110.47278312407417,33.94903688730958,-54.298853320196294,-16.866339224219356
08:55,110.76967278553516,35.1180351500535,-53.0508860450326,-16.861643478335186
09:00,111.08444303663511,36.28473767816178,-51.80287984785679,-16.857008013196456
09:05,111.41812414877958,37.44896025406212,-50.55484051857949,-16.85243453555282
09:10,111.77183818379095,38.610504911418964,-49.30677263628655,-16.847924724974472
09:15,112.14680795364117,39.76915770064033,-48.058680176772036,-16.843480233097477
09:20,112.5443670493624,40.92468642411027,-46.81056693056873,-16.839102684346354
09:25,112.96597124893235,42.0768387639609,-45.56243623813992,-16.834793672909136
09:30,113.41321129394905,43.225340135886974,-44.314290713852415,-16.830554761204162
09:35,113.88782693781212,44.369890611328,-43.066132630330934,-16.826387480100347
09:40,114.39172254462675,45.51016132807205,-41.817964465504446,-16.82229332897049
09:45,114.92698520648622,46.64579201611122,-40.56978776475337,-16.818273771572503
09:50,115.49590391528346,47.776385736609946,-39.321604513969675,-16.814330238823157
09:55,116.10099204421039,48.90150535499744,-38.07341598973657,-16.810464125526575
10:00,116.74501162336837,50.020667827076466,-36.82522328935536,-16.80667678995195
10:05,117.43100032986464,51.133337900267904,-35.57702768279836,-16.802969554888666
10:10,118.16230169711096,52.23892154350263,-34.32883029768952,-16.799343705214454
10:15,118.9425984404048,53.33675836681602,-33.08063179727313,-16.795800486960314
10:20,119.77594852492703,54.426112287388385,-31.8324327285961,-16.792341107676926
10:25,120.66682409698383,55.50616073599014,-30.584234038763594,-16.78896673650047
10:30,121.62015441003031,56.5759838046711,-29.33603591106421,-16.785678500996898
10:35,122.64136926814402,57.63454949189936,-28.087839115694447,-16.782477489406556
10:40,123.7364456241743,58.68069917856592,-26.83964384319464,-16.779364748283037
10:45,124.91195268204265,59.71312949744535,-25.59145021580184,-16.776341281991314
10:50,126.17509426383943,60.73037200696879,-24.343258627711528,-16.773408053739626
10:55,127.53374535798535,61.73077089731841,-23.09506941794392,-16.77056598350508
11:00,128.9964770878037,62.712458068464144,-21.846882538403857,-16.76781594741928
11:05,130.57256176660965,63.673325120210016,-20.59869789332062,-16.76515877806086
11:10,132.27194802116193,64.61099300358597,-19.350515848130858,-16.762595264226448
11:15,134.10519483729053,65.52278136114418,-18.102336058703923,-16.76012614855442
11:20,136.08334106881642,66.40567556907989,-16.854158818848557,-16.75775212886452
11:25,138.2176950429594,67.25629719467777,-15.605983884367665,-16.755473856479938
11:30,140.51951210673758,68.07087766797463,-14.357810985066074,-16.75329193526646
11:35,142.99953380335793,68.84524081730548,-13.109640159307798,-16.751206922284194
11:40,145.66736261279488,69.5748002325838,-11.861471424685872,-16.74921932576492
11:45,148.53065239079177,70.25457819702714,-10.61330444399477,-16.747329604631865
11:50,151.59411266030764,70.879254375789,-9.365138863250868,-16.745538168578804
11:55,154.85836016615826,71.44325367340174,-8.116974819584323,-16.743845377780627
12:00,158.31870407730628,71.94088186498203,-6.868811770450844,-16.74225154199539
12:05,161.96399536514855,72.36651120753338,-5.620649839062151,-16.74075692212747
12:10,165.77575359941335,72.7148156664189,-4.372488640920421,-16.73936173116902
12:15,169.7277950670116,72.98104154090852,-3.124327793316167,-16.738066135238395
12:20,173.78658544988647,73.16129080670464,-1.8761672489795351,-16.736870256758372
12:25,177.91244846058888,73.25278383797858,-0.628006964376104,-16.735774175497518
12:30,182.0615992817189,73.25406367039574,0.6201534378387712,-16.734777930779817
12:35,186.18878041798,73.16510872633793,1.8683143350406788,-16.73388152284769
12:40,190.25012359200744,72.98733457924155,3.1164756015417336,-16.733084912529925
12:45,194.20580300861707,72.7234840781136,4.364637783800109,-16.732388020085605
12:50,198.0220847855905,72.37742551247771,5.612800758760409,-16.731790723491926
12:55,201.67256354640762,71.95389097312666,6.860964909725771,-16.731292856970057
13:00,205.13853804503623,71.4581931346261,8.10913061770704,-16.730894207908317
13:05,208.40865787687477,70.895953801809,9.357297926964474,-16.73059451605147
13:10,211.4780594044064,70.27286781006231,10.605466874323268,-16.730393471505444
13:15,214.34722417054775,69.59451512588068,11.853637823502352,-16.7302907148327
13:20,217.0207599440905,68.86622445944971,13.101811124983364,-16.730285837065807
13:25,219.5062492199665,68.09298424243961,14.349986610989347,-16.73037837928625
13:30,221.81325148210266,67.27939199297985,15.598164764492017,-16.730567833817307
13:35,223.95248470817955,66.4296356388131,16.846345374533843,-16.730853643974136
13:40,225.93519671269254,65.54749512071129,18.094528709729193,-16.731235206266334
13:45,227.77269953155567,64.63635962843667,19.342715008136697,-16.731711869716168
13:50,229.47604360427508,63.699253604197395,20.59090414217151,-16.732282937201514
13:55,231.05580347768935,62.738866841536726,21.839095947678388,-16.732947665498422
14:00,232.52194743899148,61.757586147458426,23.087290557464932,-16.73370526677236
14:05,233.8837680375276,60.75752716991757,24.335488062652622,-16.734554909061178
14:10,235.14985638725216,59.740564841470345,25.58368800384895,-16.735495715767946
14:15,236.32810806802806,58.70836022952387,26.831890540634756,-16.73652676770454
14:20,237.42574589107105,57.66238688920974,28.08009510434668,-16.737647101823395
14:25,238.44935707763588,56.60395254837329,29.328301568844406,-16.73885571403276
14:30,239.40493531815272,55.53421964386285,30.57650973718565,-16.74015155804418
14:35,240.2979259548712,54.45422336736248,31.824719002421833,-16.741533546338587
14:40,241.13327201635943,53.364886979575395,33.072928671968214,-16.74300055035071
14:45,241.91545887487305,52.267035158352506,34.321138295695185,-16.74455140215897
14:50,242.6485561845996,51.16140620520294,35.56934732078932,-16.746184894738114
14:55,243.33625700386807,50.04866289631703,36.81755457554773,-16.7478997812103
15:00,243.98191478990003,48.929400507332915,38.065759430237826,-16.74969477770727
15:05,244.58857586050806,47.804155916944964,39.31396043993442,-16.751568561408074
15:10,245.15901016924553,46.67341345325943,40.56215650366335,-16.753519774227147
15:15,245.69573827886506,45.537611371008516,41.81034633803246,-16.755547021532124
15:20,246.20105578131728,44.39714742731927,43.0585281203098,-16.757648873107687
15:25,246.67705551850736,43.25238319555296,44.306699797122185,-16.759823863806005
15:30,247.12564747498573,42.103647806064195,45.55485938867823,-16.76207049563578
15:35,247.54857634965558,40.95124181219095,46.803004618323484,-16.764387238122733
15:40,247.94743726089166,39.795440798977424,48.05113236553962,-16.766772527567724
15:45,248.3236903253844,38.63649707398922,49.29923979021025,-16.769224770923728
15:50,248.67867292515336,37.47464337270581,50.54732293151777,-16.77174234346558
15:55,249.01361142876613,36.3100939596882,51.79537781416717,-16.774323593554108
